TIMESTAMP,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
2001,1.019,0.252568,124.38,0.252626,266.61,0.0,3.724,0.252568,98.172,0.0,221.767,0.251598,2.375,0.225114,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,8.5337,0.236301,-9999,0.0611695,1.24021,0.231621,-9999,0.169085,256.427,0.220205,1.71048,255.223,256.248,257.241,0.213813,0.218151,0.224087,403.354,402.631,403.261,406.009,147.306,145.384,147.161,152.928,398.114,385.545,398.114,405.266,301.813,293.612,297.418,309.627,-9999,-9999
2002,-1.198,0.999715,131.183,0.99629,256.052,0.0,3.494,0.999658,98.138,0.0,252.98,0.998059,2.396,0.956564,0.367163352713,0.955308219178,60.2979578733,0.999315068493,300.398767166,0.999200913242,59.3946476865,0.993493150685,32.4540123725,0.999429223744,363.806,0.982021,-9999,-9999,-9999,-9999,-9999,1.0,19.8253,0.981792,-9999,0.0891749,24.2918,0.982135,-9999,0.143242,-25.0929,0.92637,1.56861,-31.1644,-26.7607,-24.5248,0.958505,0.93516,0.929452,388.34,385.609,388.544,390.778,415.646,409.952,416.335,420.15,374.252,363.525,370.612,376.963,429.388,426.187,429.388,431.842,-9999,-9999
2003,0.204,0.999886,137.421,0.998059,257.747,0.0,4.223,0.999886,98.159,0.0,130.306,0.998858,2.41,0.963242,0.358184039458,0.961015981735,69.3337700028,0.999086757991,307.849237515,0.99897260274,41.1882859626,0.999143835616,26.5051581949,0.999143835616,377.087,0.990925,2.975,0.955993,17.394,0.955936,-9999,1.0,16.3001,0.989783,-9999,0.0796541,29.2811,0.990011,-9999,0.157742,-7.84429,0.952226,1.76667,-20.71,-14.2194,-5.68799,0.968208,0.960731,0.949772,422.32,414.97,422.32,428.072,435.336,424.512,436.54,440.025,348.891,340.214,346.921,352.689,397.794,396.226,398.851,412.362,-9999,-9999
2004,-2.326,1.0,128.002,0.998577,254.015,0.0,3.036,1.0,98.28,0.0,222.329,0.996414,2.363,0.97985,0.35668150386,0.976662112933,61.6191422196,0.999430783242,227.182091504,0.602743624772,45.5112525585,0.89776867031,26.0434012922,0.999658469945,379.677,0.989185,1.803,0.956967,22.003,0.956967,-9999,1.0,14.9153,0.988502,-9999,0.0643795,25.0639,0.989014,-9999,0.148511,8.33203,0.907218,1.59482,-4.74253,-2.91193,15.855,0.94046,0.928449,0.885132,405.235,402.347,408.678,411.574,405.098,380.072,409.637,415.013,399.964,381.035,390.449,429.891,416.713,411.553,419.006,425.489,-9999,-9999
2005,0.307,0.725228,121.682,0.724829,265.58,0.0,3.192,0.725228,98.193,0.0,446.28,0.723116,2.454,0.706221,0.38749089171,0.704566210046,75.6735243928,0.724200913242,344.84474696,0.724086757991,55.51851262,0.721232876712,33.8206219128,0.724257990868,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,19.3137,0.720263,-9999,0.0945265,22.389,0.72032,-9999,0.17402,27.1482,0.686587,2.60287,18.407,20.084,27.1482,0.705594,0.700628,0.686587,503.597,500.005,503.038,506.474,484.576,472.154,483.202,487.0,459.925,461.775,467.496,476.874,500.15,495.794,499.704,503.443,-9999,-9999
