TIMESTAMP,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
2001,2.259,0.223573,116.806,0.33984,266.61,0.0,4.146,0.216895,98.172,0.0,261.569,0.049258,2.24,0.258105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,47.042,0.0,-9999,-9999,17.4826,0.323174,-9999,0.345824,189.854,0.0,-9999,167.57,177.847,189.039,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2002,0.169,0.585502,123.992,0.583447,256.052,0.0,3.874,0.585502,98.138,0.0,290.973,0.640011,2.451,0.708961,0.47263427322,0.626997716895,77.243923329,0.582248858447,298.287933914,0.568436073059,10.6427651737,0.582420091324,10.038182181,0.582420091324,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,35.8968,0.517066,-9999,0.170115,40.3208,0.640525,-9999,0.273989,-53.0017,0.413185,5.96769,-62.2346,-58.7934,-48.3793,0.417295,0.417751,0.414498,729.232,726.262,734.692,739.581,789.096,783.247,786.691,796.623,631.62,616.066,626.703,631.62,1240.79,1232.96,1237.74,1241.09,-9999,-9999
2003,1.504,0.999886,136.787,0.998174,257.747,0.0,4.849,0.999886,98.159,0.0,208.23,0.935103,2.515,0.988642,0.442296557951,0.987328767123,92.1244892654,0.841666666667,321.852796118,0.956278538813,12.6947140657,0.995890410959,11.3850354607,0.999714611872,390.04,0.958733,1.332,0.930479,25.912,0.930479,-9999,1.0,19.1499,0.99726,-9999,0.104847,38.4817,0.997603,-9999,0.212001,-76.8004,0.922774,3.34377,-134.726,-117.12,-68.2909,0.948516,0.943208,0.918436,748.885,671.639,714.602,760.077,816.882,784.384,810.134,828.885,642.508,622.632,642.508,685.272,797.427,784.62,794.752,811.06,-9999,-9999
2004,-1.063,0.999203,126.459,0.99334,254.015,0.0,3.489,0.999203,98.28,0.0,222.33,0.396118,2.469,0.976207,0.430053372651,0.955828779599,80.2495250992,0.652834699454,291.97065989,0.938239981785,13.8469292328,0.996413934426,11.1869113126,0.996413934426,383.125,0.998235,0.271,0.949169,26.587,0.949169,-9999,1.0,14.7605,0.99704,-9999,0.075823,36.6033,0.997325,-9999,0.209188,-41.8667,0.943818,2.84796,-80.7508,-60.3596,-38.5402,0.984062,0.969035,0.937329,574.869,551.078,561.448,591.15,630.075,627.737,629.69,634.129,619.022,600.677,619.022,659.536,676.35,670.843,678.097,689.067,-9999,-9999
2005,1.804,0.734361,121.474,0.732763,265.58,0.0,3.706,0.734361,98.193,0.0,437.277,0.0,2.524,0.726598,0.479612153025,0.725057077626,94.3181261092,0.702226027397,348.78522756,0.705365296804,14.6046290971,0.730878995434,12.0865585733,0.730878995434,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,20.8295,0.726998,-9999,0.117037,30.5853,0.727283,-9999,0.243851,-219.879,0.691838,3.7488,-255.181,-232.285,-219.35,0.717409,0.710217,0.689726,733.934,655.508,717.318,755.632,940.652,922.831,947.747,961.644,679.856,685.46,723.36,796.477,873.505,859.671,869.96,922.15,-9999,-9999
