TIMESTAMP,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
2002,-2.015,0.308847,118.188,0.309075,256.052,0.0,3.24,0.308276,98.138,0.0,211.255,0.307078,1.342,0.167865,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,2.54234,0.173231,-9999,0.0230443,3.10157,0.286644,-9999,0.17595,102.251,0.173744,1.12742,101.285,102.251,103.22,0.173231,0.173744,0.172888,285.372,280.821,285.372,285.706,184.582,179.26,182.384,183.442,117.089,113.989,116.846,117.025,47.2359,42.2875,47.0469,47.1731,-9999,-9999
2003,-0.976,0.998231,138.605,0.996005,257.747,0.0,3.962,0.998231,98.159,0.0,233.234,0.997146,1.411,0.789783,0.279786411413,0.739098173516,69.5925230793,0.9975456621,288.0735516,0.997602739726,-9999,-9999,25.7047101876,0.997602739726,374.191,0.634532,2.116,0.946119,19.101,0.946119,-9999,1.0,14.1262,0.790011,-9999,0.0809564,27.1999,0.95,-9999,0.140055,16.2626,0.582306,5.08479,-21.6903,19.3228,32.7889,0.576884,0.583447,0.588128,590.69,582.772,606.283,625.378,595.186,575.073,601.785,607.007,535.534,494.59,559.748,595.254,575.345,536.219,587.981,612.593,-9999,-9999
2004,-3.148,0.869251,122.97,0.875285,254.015,0.0,3.095,0.868796,98.28,0.0,201.783,0.871129,1.429,0.826446,0.290205477385,0.818818306011,74.2647628387,0.872723132969,286.994830754,0.872836976321,-9999,-9999,25.269506756,0.872836976321,377.19,0.653005,0.583,0.819274,18.238,0.819274,-9999,1.0,10.5854,0.869422,-9999,0.0488235,28.2803,0.869479,-9999,0.145314,-34.1142,0.642646,2.28571,-40.4687,-38.0747,-35.4133,0.6398,0.644353,0.643215,330.359,330.359,339.091,347.063,371.918,369.193,372.325,384.598,330.843,316.845,327.98,334.883,403.07,393.259,399.779,412.894,-9999,-9999
2005,0.504,0.535274,118.984,0.738699,265.58,0.0,3.532,0.535274,98.193,0.0,452.603,0.736301,1.503,0.704167,0.314437040785,0.70154109589,82.4239866835,0.736586757991,323.410712221,0.736700913242,-9999,-9999,32.5018774573,0.736700913242,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,13.9925,0.736473,-9999,0.0891093,25.5365,0.73613,-9999,0.206649,-59.6418,0.729852,2.84531,-63.6553,-60.6854,-57.7084,0.728082,0.724315,0.729966,432.829,427.792,434.67,437.719,492.239,491.591,495.104,496.913,383.697,374.5,396.278,407.626,465.575,460.869,472.432,478.529,-9999,-9999
