TIMESTAMP,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
2001,-0.591,0.364669,115.363,0.365068,266.61,0.0,2.997,0.364669,98.172,0.0,257.587,0.0,1.667,0.286815,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,34.847,0.335616,-9999,0.163754,29.7539,0.351998,-9999,0.187369,-455.208,0.326084,3.32579,-459.711,-454.004,-451.375,0.324144,0.322032,0.329167,770.025,732.466,743.012,809.289,1224.79,1184.15,1197.85,1263.74,1179.85,1175.81,1180.6,1193.23,1372.5,1369.31,1374.78,1393.72,-9999,-9999
2002,-2.859,0.893436,126.792,0.890639,256.052,0.0,2.765,0.893265,98.138,0.0,294.825,0.531621,1.847,0.875856,0.344270137635,0.858447488584,57.5727270125,0.89200913242,249.240769057,0.8899543379,38.8488356918,0.653938356164,20.8782710973,0.889897260274,376.063,0.807477,-9999,-9999,-9999,-9999,-9999,1.0,15.6996,0.806906,-9999,0.0892719,27.1157,0.906507,-9999,0.168809,-139.826,0.79589,2.4487,-140.714,-139.657,-131.97,0.798459,0.801826,0.788813,509.13,489.067,497.114,510.056,640.777,629.671,634.982,640.777,478.051,468.489,483.566,489.009,650.084,650.084,655.787,660.133,-9999,-9999
2003,-1.437,0.999886,134.311,0.997831,257.747,0.0,3.688,0.998288,98.159,0.0,143.263,0.998973,1.82,0.947374,0.34401997135,0.945947488584,72.9068325777,0.999372146119,-9999,-9999,-9999,-9999,19.7200439816,0.992066210046,385.259,0.744635,3.0,0.934703,-9999,-9999,-9999,1.0,23.7052,0.744121,-9999,0.120152,28.1579,0.997945,-9999,0.160703,-118.485,0.730651,3.42471,-126.158,-117.227,-113.157,0.732991,0.727568,0.722945,695.554,661.112,691.924,705.829,810.922,787.27,809.892,816.633,611.912,586.494,603.117,609.865,802.318,790.128,800.799,805.551,-9999,-9999
2004,-3.418,0.998862,125.701,0.998463,254.015,0.0,2.69,0.998805,98.28,0.0,220.66,0.982867,1.766,0.961464,0.338427336827,0.956341074681,69.0731486091,0.998975409836,289.447017923,0.615266393443,21.0299839233,0.993510928962,18.7690061275,0.999146174863,389.195,0.984574,1.64,0.951901,-9999,-9999,-9999,1.0,16.3672,0.98429,-9999,0.0776774,29.2886,0.99926,-9999,0.158948,-82.4726,0.948087,2.70951,-87.2342,-81.1739,-69.2105,0.956569,0.937329,0.924806,611.192,591.173,613.711,618.428,689.628,673.47,684.888,693.722,513.663,499.13,519.951,588.836,653.758,641.129,653.798,673.002,-9999,-9999
2005,-0.726,0.725571,118.921,0.730822,265.58,0.0,2.868,0.725571,98.193,0.0,528.413,0.728767,1.819,0.714498,0.374692517946,0.712557077626,86.8984745974,0.728652968037,-9999,-9999,24.2059583168,0.72100456621,21.5691400876,0.728710045662,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,20.4237,0.72911,-9999,0.104729,25.5859,0.730594,-9999,0.19479,-129.285,0.712614,3.30528,-135.545,-129.396,-124.343,0.716096,0.703196,0.709817,683.363,685.389,688.279,695.562,811.96,815.237,821.378,825.408,746.855,732.719,746.369,809.636,855.839,858.193,867.872,884.671,-9999,-9999
