TIMESTAMP,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
2001,-1.039,0.436244,112.185,0.436644,266.61,0.0,3.143,0.436244,98.172,0.0,280.479,0.113356,2.672,0.359646,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,34.6262,0.414441,-9999,0.153623,29.5116,0.414155,-9999,0.245777,-397.476,0.401655,4.15864,-398.183,-397.303,-396.476,0.404281,0.402683,0.398288,694.915,652.777,676.884,715.274,1126.71,1053.44,1078.01,1113.39,641.863,605.146,639.823,645.136,1164.84,1168.75,1195.76,1197.96,-9999,-9999
2002,-2.575,0.9996,124.967,0.9996,256.052,0.0,3.066,0.9996,98.138,0.0,317.64,0.8625,2.988,0.9621,0.437005528087,0.960559360731,70.7971650056,0.998915525114,297.787725622,0.899086757991,15.5721208635,0.957876712329,14.9168846649,0.946632420091,367.778,0.909189,-9999,-9999,-9999,-9999,-9999,1.0,17.2297,0.923858,-9999,0.0984929,38.9289,0.961358,-9999,0.203801,-190.122,0.875913,2.77666,-193.169,-191.419,-190.068,0.899429,0.898002,0.869235,544.074,436.757,544.074,1129.26,827.842,630.99,736.914,1318.82,510.017,469.544,507.365,553.323,656.527,632.391,638.717,652.064,-9999,-9999
2003,-1.451,1.0,127.254,0.998858,257.747,0.0,3.673,1.0,98.159,0.0,200.594,0.919007,2.947,0.959646,0.423015372879,0.953025114155,71.3358930896,0.988470319635,322.943100155,0.84651826484,12.4630853269,0.999600456621,11.9968213922,0.999600456621,371.929,0.809932,0.074,0.8879,13.054,0.8879,-9999,1.0,19.046,0.80976,-9999,0.126423,37.5614,0.986929,-9999,0.208981,-200.311,0.784418,2.94851,-208.181,-206.645,-200.643,0.800571,0.793664,0.784304,466.454,463.544,473.183,486.338,671.453,671.453,679.444,688.163,526.909,498.506,512.224,536.115,746.195,701.25,717.651,729.758,-9999,-9999
2004,-4.882,0.875171,115.993,0.874829,254.015,0.0,2.905,0.875171,98.28,0.0,232.954,0.823372,2.742,0.814265,0.420421493508,0.811589253188,77.6421471777,0.873804644809,312.027892311,0.782843806922,13.9297691138,0.873975409836,12.2553362298,0.873975409836,375.685,0.847336,-0.064,0.833219,12.572,0.833219,-9999,1.0,13.4212,0.855077,-9999,0.0956875,37.579,0.858037,-9999,0.219185,-155.886,0.806523,2.51962,-160.232,-157.732,-154.91,0.789276,0.815403,0.803905,388.685,392.5,395.272,397.584,554.287,550.135,552.295,554.257,430.023,425.962,433.755,445.751,619.485,592.53,598.993,607.33,-9999,-9999
2005,-3.802,0.327397,106.491,0.372888,265.58,0.0,2.526,0.327397,98.193,0.0,573.852,0.370605,2.665,0.30468,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,28.1321,0.288128,-9999,0.208527,43.6192,0.288071,-9999,0.367551,-392.694,0.27911,6.15783,-427.626,-403.972,-397.945,0.282991,0.281279,0.278482,595.933,600.906,616.776,626.158,1003.78,1004.88,1020.28,1025.02,563.089,460.875,510.64,713.732,783.303,697.283,721.527,902.38,-9999,-9999
