TIMESTAMP,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
2002,-2.083,0.481906,122.844,0.481735,255.147,0.0,3.259,0.481849,97.731,0.0,280.72,0.481279,1.348,0.468094,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,34.0128,0.494178,-9999,0.171084,59.3144,0.494578,-9999,0.217412,56.8491,0.454281,4.48455,50.4494,57.0358,78.5446,0.45742,0.44532,0.436929,577.509,580.284,625.927,705.019,530.391,528.594,560.365,622.54,557.845,553.174,593.994,666.772,464.905,605.463,629.777,714.703,-9999,-9999
2003,-0.894,1.0,130.406,0.998916,258.109,0.0,4.008,1.0,97.74,0.0,237.208,0.998858,1.342,0.943721,0.334365437372,0.940068493151,63.4486037727,0.999600456621,280.190533798,0.987614155251,45.9576093054,0.994063926941,19.4577852163,0.601598173516,376.861,0.970833,5.251,0.740011,9.486,0.740011,-9999,1.0,18.903,0.970263,-9999,0.101663,32.5342,0.970491,-9999,0.187382,131.112,0.921632,2.31171,109.759,144.356,165.17,0.93653,0.906735,0.884075,515.841,522.639,588.239,606.708,409.677,412.88,439.706,444.051,442.047,424.124,480.313,504.874,440.236,396.662,410.951,421.688,-9999,-9999
2004,-3.316,0.940118,122.796,0.997325,252.606,0.0,3.075,0.93972,97.873,0.0,234.298,0.996699,1.342,0.910121,0.329351602384,0.901070127505,58.5440953915,0.999260018215,248.483013757,0.998064663024,55.4232818732,0.992144808743,27.1953930156,0.710325591985,382.317,0.961236,3.343,0.816826,10.116,0.816826,-9999,1.0,18.4324,0.961122,-9999,0.0966861,31.6262,0.961806,-9999,0.165229,58.2674,0.917008,2.0536,35.6762,62.3313,73.4384,0.932889,0.915301,0.902664,396.645,404.626,454.596,489.23,365.151,368.949,392.97,415.894,444.66,425.567,449.555,473.131,473.773,412.086,435.555,444.488,-9999,-9999
2005,-0.406,0.745548,114.193,0.745662,264.52,0.0,3.278,0.745548,97.783,0.0,456.228,0.743436,1.48,0.697489,0.356651408718,0.693778538813,75.5799757521,0.744121004566,308.878477448,0.743835616438,55.28647409,0.736757990868,34.3649032822,0.631392694064,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,18.8286,0.683162,-9999,0.115029,26.8674,0.684304,-9999,0.179277,105.595,0.649543,2.58434,88.6632,107.845,119.878,0.661187,0.645377,0.638185,457.293,459.631,475.484,480.103,368.694,353.079,363.053,367.666,429.096,429.319,453.543,473.712,442.757,416.311,426.03,432.398,-9999,-9999
